i	j	x	r	mach	theta	press	temp
68	60	1.57879	0.712972	2.22552	13.316	44.9302	266.254
69	60	1.60222	0.707411	2.23616	13.2429	44.1881	264.99
70	60	1.62932	0.701011	2.24862	13.1548	43.3341	263.516
71	60	1.66062	0.693663	2.26342	13.0436	42.3421	261.778
72	60	1.69707	0.685153	2.28148	12.8937	41.162	259.673
73	60	1.74085	0.674989	2.30493	12.6696	39.6788	256.964
74	60	1.80382	0.66041	2.34283	12.2423	37.3954	252.649
75	60	1.87482	0.643992	2.38488	11.7749	35.0171	247.95
76	60	1.94352	0.628124	2.42333	11.3758	32.977	243.734
77	60	2.02069	0.610308	2.46754	10.902	30.7806	238.981
78	60	2.05985	0.60126	2.48932	10.6767	29.7541	236.676
79	60	2.10204	0.591507	2.51344	10.4186	28.6587	234.154
80	60	2.14137	0.582405	2.53527	10.1929	27.7029	231.895
81	60	2.18999	0.571133	2.56283	9.90062	26.543	229.079
82	60	2.22984	0.561878	2.58501	9.67012	25.646	226.839
83	60	2.28585	0.548833	2.61655	9.33785	24.4244	223.698
84	60	2.32623	0.5394	2.63903	9.10388	23.5906	221.489
85	60	2.3907	0.524287	2.6751	8.72598	22.314	217.996
86	60	2.43169	0.514637	2.69786	8.48944	21.5458	215.825
87	60	2.50585	0.497094	2.73908	8.05998	20.224	211.956
88	60	2.54756	0.487173	2.76213	7.82129	19.5223	209.829
89	60	2.58945	0.477168	2.78527	7.58143	18.8434	207.717
90	60	2.63273	0.466786	2.80905	7.3361	18.1716	205.574
91	60	2.67545	0.456492	2.83252	7.09368	17.5331	203.484
92	60	2.71807	0.446174	2.85576	6.85503	16.9241	201.439
93	60	2.77346	0.432683	2.88596	6.54479	16.166	198.819
94	60	2.81709	0.421997	2.90959	6.30289	15.5977	196.796
95	60	2.86091	0.411204	2.93326	6.061	15.0498	194.795
96	60	2.93006	0.394051	2.97037	5.68291	14.2314	191.708
97	60	2.975	0.382823	2.99436	5.43884	13.7275	189.744
98	60	3.02012	0.37148	3.01831	5.19583	13.2434	187.808
99	60	3.10547	0.349829	3.06329	4.73989	12.3827	184.236
100	60	3.1519	0.337945	3.08753	4.49465	11.9437	182.346
101	60	3.19869	0.325887	3.11184	4.24849	11.5201	180.474
102	60	3.24572	0.313685	3.13605	4.00364	11.1141	178.634
103	60	3.30308	0.29869	3.1654	3.70613	10.6425	176.434
104	60	3.35142	0.285954	3.1899	3.45756	10.2653	174.624
105	60	3.40012	0.273027	3.21435	3.20876	9.90292	172.84
106	60	3.44921	0.2599	3.23876	2.95951	9.55494	171.083
107	60	3.52724	0.238828	3.277	2.56617	9.03588	168.374
108	60	3.57784	0.225024	3.30138	2.31312	8.72085	166.676
109	60	3.62891	0.210977	3.32563	2.0588	8.41926	165.008
110	60	3.68039	0.196696	3.34962	1.80409	8.13192	163.379
111	60	3.7833	0.167775	3.39594	1.29817	7.60655	160.291
112	60	3.83654	0.152611	3.41872	1.04079	7.36173	158.8
113	60	3.89043	0.137118	3.44093	0.780111	7.13131	157.364
114	60	3.94463	0.121381	3.46158	0.527409	6.92403	156.043
115	60	3.99943	0.105317	3.48054	0.279828	6.73937	154.842
116	60	4.07702	0.0823175	3.49995	0.000742317	6.55591	153.626
117	60	4.09196	0.0778644	3.5	0	6.55546	153.623
118	60	4.17902	0.0519096	3.5	0	6.55546	153.623
119	60	4.26607	0.0259548	3.5	0	6.55546	153.623
120	60	4.35313	0	3.5	0	6.55546	153.623

0	61	0.399764	1.07466	1.74042	16.6233	95.288	330.051
1	61	0.41902	1.06827	1.74726	16.6016	94.3041	329.074
2	61	0.439207	1.06161	1.75458	16.5747	93.2609	328.029
3	61	0.460121	1.05478	1.76229	16.5432	92.1731	326.932
4	61	0.481743	1.04777	1.77037	16.5076	91.0457	325.784
5	61	0.504051	1.0406	1.7788	16.4685	89.8836	324.591
6	61	0.527027	1.03329	1.78755	16.4262	88.6908	323.354
7	61	0.550649	1.02583	1.79662	16.381	87.4711	322.077
8	61	0.5749	1.01825	1.80598	16.3331	86.2276	320.762
9	61	0.599762	1.01055	1.81563	16.2827	84.9631	319.411
10	61	0.625219	1.00273	1.82556	16.2298	83.6795	318.025
11	61	0.651258	0.994817	1.83577	16.1744	82.3787	316.605
12	61	0.677865	0.986806	1.84626	16.1163	81.0617	315.15
13	61	0.705032	0.978707	1.85704	16.0554	79.7295	313.662
14	61	0.732748	0.970523	1.86811	15.9913	78.3826	312.138
15	61	0.761009	0.962261	1.87948	15.9238	77.0211	310.58
16	61	0.789808	0.953924	1.89116	15.8525	75.6453	308.984
17	61	0.819144	0.945514	1.90317	15.7769	74.2548	307.351
18	61	0.849015	0.937035	1.91553	15.6965	72.8496	305.678
19	61	0.869559	0.931252	1.92376	15.649	71.9281	304.568
20	61	0.900092	0.922727	1.93663	15.5607	70.5086	302.838
21	61	0.921179	0.916888	1.94527	15.5069	69.5713	301.683
22	61	0.942427	0.911044	1.95406	15.4503	68.6292	300.51
23	61	0.962691	0.905508	1.96158	15.4208	67.8331	299.51
24	61	0.982142	0.900231	1.96837	15.4048	67.1219	298.609
25	61	1.00163	0.89498	1.97536	15.3841	66.3974	297.684
26	61	1.0213	0.889716	1.98263	15.3576	65.6515	296.725
27	61	1.0408	0.884532	1.98978	15.3336	64.9264	295.785
28	61	1.06073	0.879272	1.99739	15.3006	64.1619	294.786
29	61	1.08057	0.874068	2.00495	15.269	63.4121	293.797
30	61	1.10062	0.868845	2.01274	15.233	62.6477	292.781
31	61	1.12106	0.863554	2.02095	15.1894	61.8519	291.714
32	61	1.14104	0.858415	2.02873	15.1541	61.1075	290.706
33	61	1.15802	0.854074	2.03597	15.1067	60.4214	289.77
34	61	1.17853	0.848856	2.04432	15.0611	59.6407	288.695
35	61	1.19529	0.844618	2.05134	15.0184	58.9915	287.794
36	61	1.21269	0.840241	2.05898	14.9646	58.2924	286.815
37	61	1.22971	0.835978	2.06626	14.9173	57.6336	285.885
38	61	1.24657	0.831775	2.07345	14.8714	56.9909	284.971
39	61	1.26398	0.827455	2.08121	14.8151	56.3051	283.987
40	61	1.28144	0.823144	2.08905	14.757	55.6196	282.995
41	61	1.298	0.819074	2.09605	14.7137	55.0147	282.112
42	61	1.31514	0.814878	2.10372	14.658	54.36	281.148
43	61	1.33088	0.811042	2.11107	14.5984	53.739	280.227
44	61	1.34638	0.807275	2.11825	14.5413	53.139	279.33
45	61	1.36107	0.803722	2.12471	14.4968	52.6059	278.526
46	61	1.37774	0.799702	2.13229	14.4393	51.9855	277.583
47	61	1.39221	0.796226	2.13922	14.3805	51.4258	276.726
48	61	1.40735	0.792599	2.14646	14.3191	50.8467	275.832
49	61	1.42158	0.789203	2.15293	14.2702	50.3345	275.036
50	61	1.4349	0.786034	2.15908	14.2221	49.8526	274.281
51	61	1.44835	0.78284	2.16553	14.1674	49.3525	273.492
52	61	1.46168	0.779684	2.17202	14.1106	48.8539	272.699
53	61	1.47474	0.776601	2.17842	14.0536	48.3669	271.92
54	61	1.48737	0.773626	2.18461	13.9988	47.901	271.169
55	61	1.49875	0.770949	2.18979	13.9597	47.514	270.541
56	61	1.51023	0.768257	2.19532	13.9125	47.1049	269.874
57	61	1.52121	0.765688	2.20076	13.8631	46.7051	269.217
58	61	1.53177	0.763221	2.20608	13.8136	46.3182	268.578
59	61	1.53626	0.76217	2.20894	13.7771	46.1113	268.235
60	61	1.5393	0.761461	2.21118	13.7443	45.9496	267.966
