i	j	x	r	mach	theta	press	temp
17	31	0.348195	0.845882	1.42234	8.0766	152.238	377.328
18	31	0.365405	0.833152	1.42873	8.0349	150.865	376.353
19	31	0.383056	0.820196	1.43533	7.99047	149.455	375.344
20	31	0.401132	0.807031	1.44215	7.94361	148.01	374.305
21	31	0.419619	0.793674	1.44917	7.89448	146.536	373.235
22	31	0.438501	0.780141	1.45638	7.84318	145.032	372.137
23	31	0.457766	0.766444	1.46378	7.78968	143.502	371.011
24	31	0.477399	0.752599	1.47137	7.7339	141.946	369.857
25	31	0.497388	0.738617	1.47916	7.67563	140.363	368.674
26	31	0.517722	0.724511	1.48716	7.6146	138.755	367.462
27	31	0.538388	0.710292	1.49536	7.55044	137.119	366.219
28	31	0.559377	0.69597	1.50379	7.48273	135.455	364.943
29	31	0.580677	0.681555	1.51247	7.41096	133.761	363.634
30	31	0.602279	0.667056	1.5214	7.33454	132.035	362.287
31	31	0.61719	0.657117	1.52722	7.29207	130.919	361.409
32	31	0.639113	0.642605	1.53654	7.2078	129.151	360.008
33	31	0.654301	0.63262	1.54268	7.15907	127.997	359.086
34	31	0.669553	0.622648	1.54894	7.10756	126.828	358.146
35	31	0.684358	0.613021	1.55396	7.08953	125.898	357.394
36	31	0.698699	0.603744	1.5583	7.08872	125.098	356.744
37	31	0.712998	0.594541	1.56284	7.08312	124.268	356.065
38	31	0.727353	0.58535	1.56763	7.0715	123.394	355.348
39	31	0.741595	0.576278	1.57231	7.06379	122.548	354.65
40	31	0.756027	0.567132	1.57741	7.04631	121.629	353.889
41	31	0.7704	0.558071	1.58245	7.03149	120.729	353.138
42	31	0.784856	0.549005	1.5877	7.01249	119.797	352.357
43	31	0.799485	0.539878	1.59332	6.98516	118.805	351.521
44	31	0.813868	0.530953	1.59852	6.96904	117.893	350.748
45	31	0.825842	0.523557	1.60364	6.93336	117.003	349.989
46	31	0.840453	0.514577	1.60935	6.90638	116.016	349.143
47	31	0.852302	0.507329	1.61423	6.8781	115.178	348.421
48	31	0.864449	0.499929	1.61968	6.83658	114.25	347.616
49	31	0.876404	0.492679	1.62478	6.80388	113.385	346.863
50	31	0.888245	0.485528	1.62979	6.77347	112.542	346.124
51	31	0.900325	0.478264	1.63533	6.73064	111.617	345.308
52	31	0.912399	0.471033	1.64094	6.686	110.686	344.483
53	31	0.924014	0.464107	1.64577	6.66057	109.89	343.773
54	31	0.935863	0.45707	1.65122	6.62001	108.998	342.974
55	31	0.946594	0.450722	1.65657	6.57156	108.129	342.19
56	31	0.957183	0.444481	1.66176	6.52662	107.291	341.431
57	31	0.967347	0.438512	1.66628	6.49776	106.567	340.771
58	31	0.978768	0.431829	1.67169	6.45603	105.705	339.981
59	31	0.988526	0.426139	1.67676	6.40776	104.903	339.242
60	31	0.998723	0.420213	1.68205	6.35773	104.072	338.472
61	31	1.00844	0.414585	1.68665	6.32365	103.355	337.804
62	31	1.01749	0.409363	1.69104	6.28886	102.673	337.166
63	31	1.02652	0.404164	1.69574	6.24549	101.949	336.485
64	31	1.03541	0.399061	1.70051	6.19888	101.22	335.795
65	31	1.04408	0.394095	1.70522	6.15172	100.502	335.113
66	31	1.05247	0.389308	1.70977	6.10669	99.8146	334.457
67	31	1.0602	0.384905	1.71341	6.08146	99.2661	333.931
68	31	1.06786	0.380556	1.71743	6.04501	98.6656	333.352
69	31	1.07509	0.376457	1.72145	6.00408	98.0673	332.773
70	31	1.08201	0.372545	1.7254	5.96201	97.4828	332.205
71	31	1.08468	0.371039	1.72776	5.9212	97.1348	331.866
72	31	1.08633	0.370105	1.72971	5.88156	96.848	331.586
73	31	1.08987	0.368108	1.73228	5.8435	96.4708	331.216
74	31	1.0951	0.365161	1.73495	5.82071	96.0825	330.835
75	31	1.10244	0.361038	1.7385	5.7943	95.5664	330.326
76	31	1.11194	0.355707	1.74299	5.76376	94.9165	329.683
